"","Date","Team","Acquired","Relinquished","Notes"
"17","2010-10-26","Heat","","Mario Chalmers","sprained ankle (out indefinitely)"
"18","2010-10-27","Bucks","","Jon Brockman","sprained left ankle (DNP)"
"19","2010-10-27","Bucks","","Luc Mbah a Moute","sprained right ankle (DNP)"
"22","2010-10-28","Spurs","","Matt Bonner","sprained right ankle (DTD)"
"38","2010-11-05","Jazz","","Jeremy Evans","sprained right ankle (DNP)"
"42","2010-11-06","Raptors","","Sonny Weems","ankle injury (DTD)"
"48","2010-11-10","Clippers","","Chris Kaman","sprained left ankle (DNP)"
"54","2010-11-11","Rockets","","Yao Ming","sprained left ankle (DTD)"
"62","2010-11-14","Rockets","","Chase Budinger","sprained left ankle (DNP)"
"63","2010-11-14","Timberwolves","","Nikola Pekovic","sprained left ankle (DNP)"
"73","2010-11-17","Rockets","","Chase Budinger","sprained left ankle (DNP)"
"90","2010-11-24","Bulls","","Taj Gibson","right ankle/foot injury (DNP)"
"99","2010-11-27","Bucks","","Corey Maggette","sore left ankle (DNP)"
"102","2010-11-28","Blazers","","Sean Marks","sprained right ankle (DNP)"
"126","2010-12-04","Timberwolves","","Michael Beasley","sprained right ankle (DNP)"
"129","2010-12-05","Thunder","","D.J. White","sprained right ankle (DTD)"
"134","2010-12-08","Jazz","","Kyrylo Fesenko","sprained left ankle (DNP)"
"147","2010-12-10","Warriors","","Stephen Curry","sprained right ankle (DTD)"
"149","2010-12-11","Jazz","","Kyrylo Fesenko","sprained left ankle (DNP)"
"168","2010-12-16","Celtics","","Rajon Rondo","sprained left ankle (DNP)"
"172","2010-12-16","Rockets","","Yao Ming","stress fracture in left ankle (out for season)"
"182","2010-12-19","Celtics","","Rajon Rondo","sprained left ankle (DNP)"
"186","2010-12-19","Raptors","","Andrea Bargnani","sore right ankle (DNP)"
"196","2010-12-21","Magic","","Malik Allen","sprained left ankle (DNP)"
"199","2010-12-22","Celtics","","Rajon Rondo","sprained left ankle (DNP)"
"217","2010-12-28","Blazers","","Marcus Camby","sprained right ankle (P) / left ankle (CBC) (DNP)"
"221","2010-12-28","Raptors","","Jose Calderon","sore ankle (DNP)"
"232","2010-12-30","Rockets","","Chuck Hayes","sprained right ankle (out indefinitely)"
"238","2010-12-31","Celtics","","Rajon Rondo","sprained left ankle (DNP)"
"249","2011-01-02","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"265","2011-01-06","Cavaliers","","Daniel Gibson","sprained left ankle (DTD)"
"269","2011-01-07","Cavaliers","","Anderson Varejao","torn tendon in right ankle (out for season)"
"271","2011-01-07","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"272","2011-01-07","Rockets","","Yao Ming","surgery on left ankle to repair stress fracture (out for season)"
"283","2011-01-11","Cavaliers","","Anderson Varejao","torn tendon in right ankle (DNP)"
"293","2011-01-13","Heat","","LeBron James","sprained left ankle (DNP)"
"296","2011-01-14","Cavaliers","","Christian Eyenga","sprained right ankle (DNP)"
"297","2011-01-14","Cavaliers","","Daniel Gibson","sprained left ankle (DNP)"
"305","2011-01-15","Cavaliers","","Christian Eyenga","sprained left ankle (DNP)"
"306","2011-01-15","Cavaliers","","Daniel Gibson","sprained right ankle (DNP)"
"310","2011-01-15","Raptors","","Jerryd Bayless","sore/sprained left ankle (DNP)"
"315","2011-01-17","Bulls","","Carlos Boozer","sprained left ankle (DNP)"
"319","2011-01-17","Raptors","","Jerryd Bayless","sore left ankle (DNP)"
"323","2011-01-18","Bulls","","Carlos Boozer","sprained left ankle (DNP)"
"329","2011-01-20","Bulls","","Carlos Boozer","sprained left ankle (DNP)"
"335","2011-01-21","Hornets","","Trevor Ariza","right ankle tendinitis / knee tendinitis (CBC) (DNP)"
"336","2011-01-21","Pistons","","Charlie Villanueva","sprained left ankle (DTD)"
"357","2011-01-24","Raptors","","Jose Calderon","flu-like symptoms / ankle injury (CBC) (DNP)"
"371","2011-01-28","Wizards","","Kirk Hinrich","sprained right ankle (DNP)"
"385","2011-02-01","Kings","","Jason Thompson","sprained right ankle (DNP)"
"391","2011-02-02","Jazz","","Andrei Kirilenko","sprained left ankle (DNP)"
"394","2011-02-02","Rockets","","Jordan Hill","sprained ankle (DNP)"
"396","2011-02-03","Magic","","Brandon Bass","sprained left ankle (DNP)"
"400","2011-02-04","Jazz","","Andrei Kirilenko","sprained left ankle (DNP)"
"402","2011-02-04","Kings","","Jason Thompson","sprained right ankle (DNP)"
"403","2011-02-04","Magic","","Brandon Bass","sprained left ankle (DNP)"
"406","2011-02-04","Timberwolves","","Michael Beasley","left ankle injury (DTD)"
"408","2011-02-05","Hornets","","Trevor Ariza","sprained right ankle (DNP)"
"409","2011-02-05","Jazz","","Andrei Kirilenko","sprained left ankle (DNP)"
"415","2011-02-06","Magic","","Brandon Bass","sprained left ankle (DNP)"
"420","2011-02-08","Magic","","Brandon Bass","sprained left ankle (DNP)"
"426","2011-02-08","Timberwolves","","Michael Beasley","sprained left ankle (DNP)"
"429","2011-02-09","Magic","","Brandon Bass","sprained left ankle (DNP)"
"432","2011-02-09","Wizards","","Jianlian Yi","sprained left ankle (DNP)"
"438","2011-02-11","Magic","","Brandon Bass","sprained left ankle (DNP)"
"444","2011-02-11","Timberwolves","","Michael Beasley","sprained left ankle (DNP)"
"446","2011-02-12","Cavaliers","","Anderson Varejao","surgery on right ankle to repair torn tendon (date approximate)"
"457","2011-02-15","Jazz","","Andrei Kirilenko","sprained right ankle (DNP)"
"466","2011-02-16","Jazz","","Andrei Kirilenko","sprained right ankle (DNP)"
"482","2011-02-25","Nuggets","","Melvin Ely","sprained ankle (DTD)"
"499","2011-02-28","Celtics","","Delonte West","sprained right ankle (DNP)"
"532","2011-03-07","Jazz","","Francisco Elson","sprained left ankle (DNP)"
"540","2011-03-09","Bobcats","","Matt Carroll","sprained left ankle (DNP)"
"578","2011-03-18","Bucks","","Chris Douglas-Roberts","sprained right ankle (DNP)"
"585","2011-03-19","Bobcats","","Garrett Temple","sprained left ankle (DNP)"
"593","2011-03-21","Spurs","","Tim Duncan","sprained left ankle (out indefinitely)"
"594","2011-03-22","Blazers","","Marcus Camby","sprained right ankle (DNP)"
"600","2011-03-23","Jazz","","Derrick Favors","sprained left ankle (DNP)"
"604","2011-03-23","Rockets","","Chase Budinger","sprained left ankle (DTD)"
"609","2011-03-25","Celtics","","Troy Murphy","sprained right ankle (DNP)"
"614","2011-03-25","Raptors","","Amir Johnson","sore left ankle (DNP)"
"620","2011-03-26","Raptors","","Andrea Bargnani","sore right ankle (DNP)"
"622","2011-03-27","Celtics","","Troy Murphy","sprained right ankle (DNP)"
"626","2011-03-28","Celtics","","Troy Murphy","sprained right ankle (DNP)"
"638","2011-03-29","Thunder","","Nick Collison","sprained left ankle (DNP)"
"662","2011-04-02","Raptors","","Andrea Bargnani","sore right ankle (DNP)"
"663","2011-04-02","Timberwolves","","Darko Milicic","sprained left ankle (DNP)"
"698","2011-04-06","Nuggets","","Timofey Mozgov","sprained left knee and ankle (DNP)"
"699","2011-04-06","Raptors","","Amir Johnson","sore left ankle (DNP)"
"714","2011-04-08","Nuggets","","Timofey Mozgov","sprained left knee and ankle (DNP)"
"724","2011-04-09","Nuggets","","Timofey Mozgov","sprained left knee and ankle (DNP)"
"725","2011-04-09","Nuggets","","Wilson Chandler","sore left ankle (DNP)"
"728","2011-04-09","Timberwolves","","Darko Milicic","sprained left ankle (DNP)"
"739","2011-04-10","Raptors","","Amir Johnson","sore left ankle (DNP)"
"750","2011-04-11","Kings","","Tyreke Evans","sprained left ankle (DNP)"
"758","2011-04-11","Nuggets","","Danilo Gallinari","sprained right ankle (DNP)"
"761","2011-04-11","Raptors","","Amir Johnson","sore left ankle (DNP)"
"767","2011-04-11","Timberwolves","","Darko Milicic","sprained left ankle (DNP)"
"790","2011-04-13","Celtics","","Delonte West","sprained right ankle (DNP)"
"811","2011-04-13","Nuggets","","Danilo Gallinari","sprained right ankle (DNP)"
"816","2011-04-13","Raptors","","Amir Johnson","sore left ankle (DNP)"
"822","2011-04-13","Timberwolves","","Darko Milicic","sprained left ankle (DNP)"
"829","2011-04-22","Magic","","Chris Duhon","sprained left ankle (DNP)"
"834","2011-05-25","Warriors","","Stephen Curry","surgery on right ankle (out indefinitely)"
"835","2011-06-03","Raptors","","Amir Johnson","surgery on left ankle (out indefinitely)"
"854","2011-12-25","Grizzlies","","Xavier Henry","right ankle injury (out indefinitely)"
"864","2011-12-26","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"869","2011-12-28","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"873","2011-12-30","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"876","2011-12-30","Grizzlies","","Mike Conley Jr.","sprained left ankle (DNP)"
"879","2011-12-30","Jazz","","Al Jefferson","sprained right ankle (DNP)"
"884","2011-12-31","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"885","2012-01-01","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"889","2012-01-01","Grizzlies","","Mike Conley Jr.","sprained left ankle (DNP)"
"891","2012-01-01","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"893","2012-01-01","Grizzlies","","Xavier Henry","sprained right ankle (DNP)"
"897","2012-01-02","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"898","2012-01-02","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"902","2012-01-03","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"906","2012-01-03","Grizzlies","","Xavier Henry","sprained right ankle (DNP)"
"908","2012-01-04","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"915","2012-01-04","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"929","2012-01-06","Nets","","Damion James","sprained right ankle (DTD)"
"930","2012-01-06","Nets","","MarShon Brooks","sprained left ankle (DNP)"
"931","2012-01-06","Pacers","","Lance Stephenson","sprained left ankle (DTD)"
"933","2012-01-06","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"944","2012-01-07","Heat","","LeBron James","sprained left ankle (DNP)"
"951","2012-01-07","Pistons","","Austin Daye","sore right ankle (DNP)"
"952","2012-01-07","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"954","2012-01-07","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"970","2012-01-09","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"971","2012-01-09","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"975","2012-01-10","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"981","2012-01-10","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"983","2012-01-10","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"997","2012-01-11","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"1001","2012-01-12","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"1004","2012-01-12","Hawks","","Marvin Williams","sprained left ankle (DNP)"
"1011","2012-01-13","Nets","","Dennis Horner","sprained left ankle (DNP)"
