"","Date","Start..ET.","Visitor.Neutral","PTS","Home.Neutral","PTS.1","Code"
"6575",2017-10-17,"8:01p","BOS","99","CLE","102","201210300CLE"
"6581",2017-10-18,"7:30p","MIL","108","BOS","100","201210300BOS"
"6594",2017-10-20,"7:00p","BOS","102","PHI","92","201210300PHI"
"6625",2017-10-24,"7:30p","NYK","89","BOS","110","201210300BOS"
"6641",2017-10-26,"8:00p","BOS","96","MIL","89","201210300MIL"
"6654",2017-10-28,"8:00p","BOS","96","MIA","90","201210300MIA"
"6666",2017-10-30,"7:30p","SAS","94","BOS","108","201210300BOS"
"6683",2017-11-01,"7:30p","SAC","86","BOS","113","201210300BOS"
"6703",2017-11-03,"9:30p","BOS","101","OKC","94","201210300OKC"
"6712",2017-11-05,"6:00p","BOS","104","ORL","88","201210300ORL"
"6720",2017-11-06,"7:30p","BOS","110","ATL","107","201210300ATL"
"6735",2017-11-08,"8:00p","LAL","96","BOS","107","201210300BOS"
"6744",2017-11-10,"7:30p","CHO","87","BOS","90","201210300BOS"
"6762",2017-11-12,"3:30p","TOR","94","BOS","95","201210300BOS"
"6775",2017-11-14,"7:30p","BOS","109","BRK","102","201210300BRK"
"6789",2017-11-16,"8:00p","GSW","88","BOS","92","201210300BOS"
"6804",2017-11-18,"7:30p","BOS","110","ATL","99","201210300ATL"
"6823",2017-11-20,"8:30p","BOS","110","DAL","102","201210300DAL"
"6831",2017-11-22,"7:30p","BOS","98","MIA","104","201210300MIA"
"6843",2017-11-24,"7:30p","ORL","103","BOS","118","201210300BOS"
"6856",2017-11-25,"8:00p","BOS","108","IND","98","201210300IND"
"6866",2017-11-27,"7:30p","DET","118","BOS","108","201210300BOS"
"6888",2017-11-30,"7:30p","PHI","97","BOS","108","201210300BOS"
"6900",2017-12-02,"1:00p","PHO","111","BOS","116","201210300BOS"
"6917",2017-12-04,"7:30p","MIL","100","BOS","111","201210300BOS"
"6930",2017-12-06,"7:30p","DAL","90","BOS","97","201210300BOS"
"6948",2017-12-08,"9:30p","BOS","102","SAS","105","201210300SAS"
"6960",2017-12-10,"4:00p","BOS","91","DET","81","201210300DET"
"6965",2017-12-11,"8:00p","BOS","85","CHI","108","201210300CHI"
"6981",2017-12-13,"7:30p","DEN","118","BOS","124","201210300BOS"
"6997",2017-12-15,"7:30p","UTA","107","BOS","95","201210300BOS"
"7010",2017-12-16,"9:00p","BOS","102","MEM","93","201210300MEM"
"7016",2017-12-18,"7:00p","BOS","112","IND","111","201210300IND"
"7030",2017-12-20,"7:30p","MIA","90","BOS","89","201210300BOS"
"7042",2017-12-21,"8:00p","BOS","93","NYK","102","201210300NYK"
"7059",2017-12-23,"7:30p","CHI","92","BOS","117","201210300BOS"
"7069",2017-12-25,"5:30p","WAS","111","BOS","103","201210300BOS"
"7080",2017-12-27,"7:00p","BOS","102","CHO","91","201210300CHO"
"7091",2017-12-28,"8:00p","HOU","98","BOS","99","201210300BOS"
"7113",2017-12-31,"5:30p","BRK","105","BOS","108","201210300BOS"
"7133",2018-01-03,"8:00p","CLE","88","BOS","102","201210300BOS"
"7142",2018-01-05,"7:00p","MIN","84","BOS","91","201210300BOS"
"7153",2018-01-06,"6:00p","BOS","87","BRK","85","201210300BRK"
"7188",2018-01-11,"3:00p","BOS","114","PHI","103","201210300PHI"
"7224",2018-01-16,"7:30p","NOP","116","BOS","113","201210300BOS"
"7237",2018-01-18,"7:00p","PHI","89","BOS","80","201210300BOS"
