"","code","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg"
"1","201710170CLE","99.3",".455","9.2","18.0",".216","99.7","99.3",".488","15.3","19.6",".253","102.7"
"2","201710180BOS","97.9",".546","14.4","15.8",".329","110.4","97.9",".489","10.7","22.0",".121","102.2"
"3","201710200PHI","99.5",".476","16.2","29.8",".262","102.5","99.5",".435","13.9","25.5",".130","92.4"
"4","201710240BOS","94.5",".429","12.7","23.4",".188","94.2","94.5",".587","12.1","13.5",".293","116.4"
"5","201710260MIL","95.6",".494","14.6","14.6",".244","100.4","95.6",".526","16.1","4.9",".104","93.1"
"6","201710280MIA","93.7",".457","11.5","24.4",".272","102.4","93.7",".475","18.1","16.7",".190","96.0"
"7","201710300BOS","91.7",".483","10.3","23.5",".115","102.5","91.7",".540","12.0","34.9",".148","117.8"
"8","201711010BOS","88.9",".469","14.8","16.3",".123","96.7","88.9",".591","15.0","45.7",".195","127.1"
"9","201711030OKC","92.0",".506","9.6","22.9",".190","109.8","92.0",".477","11.4","22.4",".126","102.2"
"10","201711050ORL","99.5",".500","11.7","20.5",".169","104.5","99.5",".396","11.6","18.2",".176","88.5"
"11","201711060ATL","96.0",".568","12.5","18.4",".222","114.6","96.0",".562","13.5","12.5",".198","111.5"
"12","201711080BOS","101.9",".465","17.4","27.3",".200","94.2","101.9",".423","10.4","30.8",".245","105.0"
"13","201711100BOS","97.9",".425","12.9","14.9",".238","88.9","97.9",".411","12.0","18.4",".250","91.9"
"14","201711120BOS","89.4",".536","17.7","16.2",".290","105.1","89.4",".460","12.8","33.3",".172","106.2"
"15","201711140BRK","99.5",".506","12.5","20.9",".256","109.5","99.5",".523","12.8","18.4",".114","102.5"
"16","201711160BOS","99.1",".463","14.2","13.5",".146","88.8","99.1",".373","13.5","14.9",".418","92.8"
"17","201711180ATL","93.1",".573","14.2","23.7",".195","118.2","93.1",".532","13.0","15.8",".205","106.4"
"18","201711200DAL","95.9",".530","15.1","11.9",".250","103.9","95.9",".443","9.5","14.3",".177","96.3"
"19","201711220MIA","96.6",".470","10.3","14.6",".226","101.4","96.6",".556","15.4","18.9",".173","107.6"
"20","201711240BOS","95.3",".479","10.4","32.7",".126","108.1","95.3",".555","7.3","27.1",".187","123.9"
"21","201711250IND","91.4",".625","14.3","13.3",".100","118.2","91.4",".532","17.5","27.8",".192","107.3"
"22","201711270BOS","95.1",".582","7.8","20.5",".224","124.0","95.1",".623","16.5","13.5",".156","113.5"
"23","201711300BOS","94.5",".512","17.1","31.3",".131","102.7","94.5",".582","15.4","18.9",".203","114.3"
"24","201712020BOS","93.9",".510","8.6","37.2",".079","118.2","93.9",".613","9.1","11.4",".225","123.5"
"25","201712040BOS","91.8",".506","9.2","7.5",".269","108.9","91.8",".615","13.9","24.2",".192","120.9"
"26","201712060BOS","94.8",".448","8.8","12.0",".151","94.9","94.8",".483","10.4","18.8",".149","102.3"
"27","201712080SAS","89.9",".524","13.4","25.6",".181","113.5","89.9",".519","12.4","33.3",".259","116.8"
"28","201712100DET","88.5",".487","13.0","20.5",".177","102.8","88.5",".393","8.9","21.2",".179","91.5"
"29","201712110CHI","90.0",".458","14.4","23.4",".108","94.4","90.0",".556","8.0","22.2",".222","119.9"
"30","201712130BOS","96.2",".544","12.8","43.5",".209","122.7","96.2",".665","12.7","12.5",".241","129.0"
"31","201712150BOS","96.8",".560","14.2","23.7",".169","110.5","96.8",".459","7.8","4.2",".186","98.1"
"32","201712160MEM","86.3",".575","15.7","33.3",".125","118.2","86.3",".494","13.1","26.3",".190","107.8"
