"","code","X.x","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg","X.y","start_time","away_team","home_team","away_team_score","home_team_score","home_team_abbv","home_city","home_state","index_team","season_end_year","lat","lng","timezone","Prev_lat","Prev_lng","Prev_timezone","Dist_Km","Dist_Mi","index.pace","index.efg","index.tov","index.orb","index.ftprb","index.ortg","index.points","opponent_team","home","date","v_minus3","v_minus7","v_minus14"
"1","201610250CLE",5261,99.9,0.42,15.8,24.5,0.172,88.1,99.9,0.548,12,27.5,0.149,117.1,3327,"2016-10-25 19:30:00+00:00","NEW_YORK_KNICKS","CLEVELAND_CAVALIERS",88,117,"CLE","Cleveland","Ohio","NEW_YORK_KNICKS",2017,41.4767,-81.6805,"America/New_York",41.4767,-81.6805,"America/New_York",0,0,99.9,0.42,15.8,24.5,0.172,88.1,88,"CLEVELAND_CAVALIERS","away",2016-10-25,0,0,0
"2","201610250CLE",5261,99.9,0.42,15.8,24.5,0.172,88.1,99.9,0.548,12,27.5,0.149,117.1,869,"2016-10-25 19:30:00+00:00","NEW_YORK_KNICKS","CLEVELAND_CAVALIERS",88,117,"CLE","Cleveland","Ohio","CLEVELAND_CAVALIERS",2017,41.4767,-81.6805,"America/New_York",41.4767,-81.6805,"America/New_York",0,0,99.9,0.548,12,27.5,0.149,117.1,117,"NEW_YORK_KNICKS","home",2016-10-25,0,0,0
"3","201610250GSW",5263,98.3,0.541,10.6,43.8,0.235,131.3,98.3,0.512,14.7,19,0.153,101.8,1565,"2016-10-25 22:30:00+00:00","SAN_ANTONIO_SPURS","GOLDEN_STATE_WARRIORS",129,100,"GSW","San Francisco","California","GOLDEN_STATE_WARRIORS",2017,37.7562,-122.443,"America/Los_Angeles",37.7562,-122.443,"America/Los_Angeles",0,0,98.3,0.512,14.7,19,0.153,101.8,100,"SAN_ANTONIO_SPURS","home",2016-10-25,0,0,0
"4","201610250GSW",5263,98.3,0.541,10.6,43.8,0.235,131.3,98.3,0.512,14.7,19,0.153,101.8,4504,"2016-10-25 22:30:00+00:00","SAN_ANTONIO_SPURS","GOLDEN_STATE_WARRIORS",129,100,"GSW","San Francisco","California","SAN_ANTONIO_SPURS",2017,37.7562,-122.443,"America/Los_Angeles",37.7562,-122.443,"America/Los_Angeles",0,0,98.3,0.541,10.6,43.8,0.235,131.3,129,"GOLDEN_STATE_WARRIORS","away",2016-10-25,0,0,0
"5","201610250POR",5262,90.5,0.537,11,17.1,0.195,114.9,90.5,0.607,12.4,16.7,0.293,124.8,4168,"2016-10-25 22:00:00+00:00","UTAH_JAZZ","PORTLAND_TRAIL_BLAZERS",104,113,"POR","Portland","Oregon","PORTLAND_TRAIL_BLAZERS",2017,45.5371,-122.65,"America/Los_Angeles",45.5371,-122.65,"America/Los_Angeles",0,0,90.5,0.607,12.4,16.7,0.293,124.8,113,"UTAH_JAZZ","home",2016-10-25,0,0,0
"6","201610250POR",5262,90.5,0.537,11,17.1,0.195,114.9,90.5,0.607,12.4,16.7,0.293,124.8,4873,"2016-10-25 22:00:00+00:00","UTAH_JAZZ","PORTLAND_TRAIL_BLAZERS",104,113,"POR","Portland","Oregon","UTAH_JAZZ",2017,45.5371,-122.65,"America/Los_Angeles",45.5371,-122.65,"America/Los_Angeles",0,0,90.5,0.537,11,17.1,0.195,114.9,104,"PORTLAND_TRAIL_BLAZERS","away",2016-10-25,0,0,0
"7","201610260BOS",5267,103,0.521,13.1,30,0.165,113.6,103,0.601,16.4,29.3,0.169,118.4,170,"2016-10-26 19:30:00+00:00","BROOKLYN_NETS","BOSTON_CELTICS",117,122,"BOS","Boston","Massachusetts","BOSTON_CELTICS",2017,42.3188,-71.0846,"America/New_York",42.3188,-71.0846,"America/New_York",0,0,103,0.601,16.4,29.3,0.169,118.4,122,"BROOKLYN_NETS","home",2016-10-26,0,0,0
"8","201610260BOS",5267,103,0.521,13.1,30,0.165,113.6,103,0.601,16.4,29.3,0.169,118.4,371,"2016-10-26 19:30:00+00:00","BROOKLYN_NETS","BOSTON_CELTICS",117,122,"BOS","Boston","Massachusetts","BROOKLYN_NETS",2017,42.3188,-71.0846,"America/New_York",42.3188,-71.0846,"America/New_York",0,0,103,0.521,13.1,30,0.165,113.6,117,"BOSTON_CELTICS","away",2016-10-26,0,0,0
"9","201610260IND",5264,103.6,0.519,11.8,18.5,0.125,105.8,103.6,0.559,12.9,17,0.28,113.7,1073,"2016-10-26 19:00:00+00:00","DALLAS_MAVERICKS","INDIANA_PACERS",121,130,"IND","Indianapolis","Indiana","DALLAS_MAVERICKS",2017,39.7771,-86.1458,"America/Indiana/Indianapolis",39.7771,-86.1458,"America/Indiana/Indianapolis",0,0,103.6,0.519,11.8,18.5,0.125,105.8,121,"INDIANA_PACERS","away",2016-10-26,0,0,0
"10","201610260IND",5264,103.6,0.519,11.8,18.5,0.125,105.8,103.6,0.559,12.9,17,0.28,113.7,1959,"2016-10-26 19:00:00+00:00","DALLAS_MAVERICKS","INDIANA_PACERS",121,130,"IND","Indianapolis","Indiana","INDIANA_PACERS",2017,39.7771,-86.1458,"America/Indiana/Indianapolis",39.7771,-86.1458,"America/Indiana/Indianapolis",0,0,103.6,0.559,12.9,17,0.28,113.7,130,"DALLAS_MAVERICKS","home",2016-10-26,0,0,0
