"","code","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg"
"1","201210300CLE","87.9","0.4","10.8","33.3","0.133","95.5","87.9","0.5","18.4","46.2","0.19","106.9"
"2","201210300MIA","94.5","0.56","14.7","18.4","0.307","113.2","94.5","0.595","7.9","12.8","0.329","127"
"3","201210300LAL","91.1","0.5","10.6","22.5","0.165","108.7","91.1","0.513","13.4","32.6","0.156","99.9"
"4","201210310PHI","92.9","0.398","17.7","32.7","0.057","80.8","92.9","0.394","13.7","26.9","0.2","90.4"
"5","201210310TOR","91.1","0.506","17.5","25","0.141","98.8","91.1","0.396","9.1","28.8","0.176","96.6"
"6","201210310DET","94.6","0.557","18.3","31.6","0.215","111","94.6","0.481","15","23.3","0.253","101.5"
"7","201210310CHI","94.9","0.44","17.3","25.6","0.155","91.6","94.9","0.43","16.1","32.6","0.316","98"
"8","201210310NOH","93.5","0.513","14.1","22.7","0.213","105.8","93.5","0.463","12.6","21.4","0.263","101.6"
"9","201210310UTA","100.5","0.441","14.2","16.3","0.224","93.6","100.5","0.461","11.5","38.5","0.348","112.5"
"10","201210310PHO","93.8","0.413","15.8","34","0.186","92.8","93.8","0.425","16.7","25.6","0.213","90.6"
"11","201210310LAC","97.4","0.395","15.4","35.4","0.279","94.5","97.4","0.547","20.2","22.9","0.27","103.7"
"12","201210310POR","93.8","0.556","21.8","42.9","0.361","113.1","93.8","0.56","11.2","25","0.277","123.7"
"13","201211010SAS","91.1","0.422","17.1","26.7","0.247","92.2","91.1","0.475","13.1","14.3","0.139","94.4"
"14","201211020CHA","93.4","0.44","15.2","31.1","0.193","95.3","93.4","0.406","9.5","20.8","0.247","96.4"
"15","201211020ORL","91.8","0.423","12.7","30","0.214","96.9","91.8","0.517","10.5","26.8","0.151","111.1"
"16","201211020ATL","97.4","0.467","17","44.2","0.278","111.9","97.4","0.512","12.3","16.7","0.176","104.7"
"17","201211020BOS","94.8","0.512","16.5","26.8","0.128","104.4","94.8","0.48","17.8","14.6","0.23","92.8"
"18","201211020CLE","94","0.667","17.1","18.5","0.333","122.3","94","0.456","15.8","23.4","0.177","91.5"
"19","201211020MIN","92.1","0.376","10.3","23.4","0.146","86.9","92.1","0.379","9.7","34.7","0.299","99.9"
"20","201211020NOH","84.8","0.471","13.4","34.8","0.071","101.4","84.8","0.488","12.1","30","0.111","103.7"
"21","201211020NYK","88.4","0.514","21.5","20","0.155","95","88.4","0.542","11.7","27.7","0.155","117.6"
"22","201211020OKC","94.6","0.41","9.9","22","0.213","97.2","94.6","0.546","11.8","19.5","0.303","112"
"23","201211020PHO","92.6","0.433","8.4","21.3","0.122","96.1","92.6","0.446","10.9","34.1","0.109","99.4"
"24","201211020GSW","93.3","0.494","12.4","25","0.364","111.5","93.3","0.513","17.1","22.5","0.15","100.8"
"25","201211020LAL","93.3","0.5","10.3","22.5","0.25","112.5","93.3","0.551","19.9","20","0.294","101.8"
"26","201211030IND","88.1","0.402","12.6","25.8","0.157","92.1","88.1","0.414","15.9","40.4","0.242","99.6"
"27","201211030WAS","91","0.476","9.1","13.3","0.107","97.8","91","0.474","14.9","19.4","0.154","94.5"
"28","201211030BRK","97.8","0.494","13.1","23.8","0.232","102.3","97.8","0.494","14.9","25","0.333","109.4"
"29","201211030MIA","94.4","0.542","11.1","41.9","0.137","122.8","94.4","0.578","7.8","19.4","0.277","126"
"30","201211030CHI","89.7","0.46","15.8","25.7","0.267","99.2","89.7","0.347","10.8","30","0.239","91.4"
"31","201211030HOU","93","0.473","14","20","0.075","92.5","93","0.38","14.8","27.1","0.125","82.7"
"32","201211030DAL","96.7","0.445","9","30","0.198","102.4","96.7","0.713","20.3","25.8","0.15","130.3"
"33","201211030MIL","99.4","0.506","13.5","20.9","0.217","102.6","99.4","0.576","14.5","8.3","0.177","105.7"
"34","201211030SAS","92.1","0.526","15.6","25.7","0.247","108.5","92.1","0.615","17.6","23.3","0.257","119.4"
"35","201211030LAC","97.1","0.512","11.4","38.1","0.333","117.4","97.1","0.5","14.7","17.9","0.571","113.3"
"36","201211040NYK","89.6","0.481","17.8","24.4","0.101","93.8","89.6","0.578","14.2","20.5","0.143","111.7"
"37","201211040ORL","94.5","0.456","13.9","34","0.121","99.5","94.5","0.538","9.1","31.7","0.174","121.7"
"38","201211040TOR","89.5","0.5","23.6","25.8","0.344","96","89.5","0.5","10.1","36.4","0.167","117.3"
"39","201211040OKC","89.7","0.542","9.8","28.6","0.169","116","89.7","0.528","19.9","21.2","0.282","105.9"
"40","201211040LAL","86.3","0.38","15.2","30.2","0.241","91.6","86.3","0.584","14.5","44.4","0.234","125.2"
"41","201211050PHI","88.3","0.542","7","20.5","0.226","124.5","88.3","0.384","11.8","35.2","0.256","99.6"
"42","201211050BRK","84.5","0.54","10.4","43.2","0.136","126.6","84.5","0.568","13.8","21.6","0.178","113.6"
"43","201211050MIA","100","0.438","9.8","19.2","0.25","99","100","0.634","13.7","20","0.174","124"
"44","201211050MEM","95.6","0.472","12.8","22.9","0.1","98.3","95.6","0.445","9.7","31.1","0.242","107.7"
"45","201211050DAL","89.4","0.414","11.4","39.7","0.151","101.8","89.4","0.679","9.7","7.4","0.103","127.5"
"46","201211050SAS","87.8","0.38","17.6","33.3","0.241","90","87.8","0.517","7.9","26.2","0.126","115.1"
"47","201211050SAC","92.6","0.436","12.6","17.5","0.308","99.4","92.6","0.481","12.5","24.4","0.198","101.6"
"48","201211050LAC","96","0.511","14.3","38.3","0.152","112.5","96","0.588","23.6","26.5","0.189","105.2"
"49","201211060CHI","91.5","0.465","10.5","24.4","0.151","101.6","91.5","0.488","8.7","22","0.202","108.2"
"50","201211060OKC","98.8","0.399","15.2","17","0.25","89","98.8","0.534","16","19.4","0.392","109.3"
"51","201211060DEN","91.7","0.487","12.7","20.5","0.269","105.7","91.7","0.5","12.9","43.8","0.185","118.8"
"52","201211070CHA","91.1","0.527","10.2","47.8","0.204","128.5","91.1","0.494","10.8","34.9","0.276","120.8"
"53","201211070ATL","90.2","0.459","14.4","24.4","0.094","95.4","90.2","0.477","15.6","36.2","0.069","98.7"
"54","201211070BOS","93.9","0.463","16.2","20.8","0.063","90.7","93.9","0.444","14.3","15","0.346","96.4"
"55","201211070MIA","88.3","0.394","17.8","28.9","0.125","82.6","88.3","0.584","12.5","22.9","0.169","116.6"
"56","201211070HOU","93.1","0.494","18.7","37.2","0.146","99.9","93.1","0.417","16.1","32.7","0.202","93.5"
"57","201211070MIL","91.7","0.566","13.3","30.6","0.169","117.7","91.7","0.418","9.1","29.6","0.154","98.1"
"58","201211070MIN","91","0.369","17.6","26.7","0.2","82.4","91","0.493","18.2","31","0.197","98.9"
"59","201211070NOH","86.9","0.44","14.8","20","0.036","88.6","86.9","0.362","20.8","24.4","0.174","71.3"
"60","201211070DAL","90.6","0.475","7.8","24.4","0.333","114.8","90.6","0.512","10","36.4","0.274","120.3"
"61","201211070UTA","91.9","0.365","16","34.9","0.432","93.6","91.9","0.476","11.7","21.4","0.193","103.4"
"62","201211070SAC","89.8","0.548","16.4","26.3","0.315","114.7","89.8","0.53","12.3","37.8","0.22","116.9"
"63","201211070GSW","96.8","0.483","14.4","22.9","0.151","99.2","96.8","0.571","15.4","20","0.218","109.5"
"64","201211070LAC","93.3","0.466","19.3","14","0.219","90","93.3","0.59","14.7","28.1","0.096","113.6"
"65","201211080CHI","95.5","0.527","21.1","21.6","0.274","101.5","95.5","0.446","17.9","28.6","0.19","95.3"
"66","201211080POR","89.2","0.552","12.9","31.3","0.234","115.5","89.2","0.473","12.8","20.9","0.253","100.9"
"67","201211090ORL","85.7","0.555","10.6","34.9","0.195","124.8","85.7","0.457","19.7","17.5","0.057","79.3"
"68","201211090WAS","97.3","0.551","19.6","18.8","0.192","103.8","97.3","0.462","18.6","23.8","0.244","93.5"
